,R[t],IAT[t],IAT[t-1],IATC[t],IATC[t-1],BD[t],BD[t-1],BDC[t],BDC[t-1]
2015-07-29,0.043369,1.287246745,1.617441029,0,1,1.430042593,1.424684621,1,0
2015-07-30,-0.099966,1.303965909,1.287246745,1,0,1.595068115,1.430042593,1,1
2015-07-31,-0.004962,1.092665504,1.303965909,0,1,1.36467534,1.595068115,0,1
2015-08-03,-0.060606,1.536975449,1.092665504,1,0,1.381820849,1.36467534,1,0
2015-08-04,0.070641,1.570284885,1.536975449,1,1,1.44558071,1.381820849,1,1
2015-08-05,0.015637,1.706367465,1.570284885,1,1,1.510947962,1.44558071,1,1
2015-08-06,0.013519,1.420493695,1.706367465,0,1,1.416111867,1.510947962,0,1
2015-08-07,0.088922,1.176417836,1.420493695,0,0,1.449867087,1.416111867,1,0
2015-08-10,0.051718,1.548032561,1.176417836,1,0,1.544703183,1.449867087,1,1
2015-08-11,-0.024264,1.531129265,1.548032561,0,1,1.447723899,1.544703183,0,1
2015-08-12,-0.038462,1.205243664,1.531129265,0,0,1.310024031,1.447723899,0,0
2015-08-13,0.033103,1.402384336,1.205243664,1,0,1.346994034,1.310024031,1,0
2015-08-14,-0.018024,1.358855588,1.402384336,0,1,1.264481273,1.346994034,0,1
2015-08-17,0.030252,1.881357086,1.358855588,1,0,1.322883163,1.264481273,1,0
2015-08-18,-0.099967,1.559697308,1.881357086,0,1,1.355030992,1.322883163,1,1
2015-08-19,0.012097,1.720904667,1.559697308,1,0,1.23501243,1.355030992,0,1
2015-08-20,-0.052879,1.584370965,1.720904667,0,1,1.140712132,1.23501243,0,0
2015-08-21,-0.086042,1.248238431,1.584370965,0,0,1.204471993,1.140712132,1,0
2015-08-24,-0.1,1.404888528,1.248238431,1,0,1.143391118,1.204471993,1,1
2015-08-25,-0.099954,1.267065903,1.404888528,0,1,1.216795327,1.143391118,1,1
2015-08-26,-0.075413,1.053436232,1.267065903,0,0,1.306273451,1.216795327,1,1
2015-08-27,0.09162,1.364370334,1.053436232,1,0,1.25751591,1.306273451,0,1
2015-08-28,0.072671,1.188239096,1.364370334,0,1,1.171788367,1.25751591,0,0
2015-08-31,-0.098282,1.209892991,1.188239096,1,0,1.193220252,1.171788367,1,0
2015-09-01,-0.050265,0.961195425,1.209892991,0,1,1.218402719,1.193220252,1,1
2015-09-02,0.100279,0.945295647,0.961195425,0,0,1.41182549,1.218402719,1,1
2015-09-07,-0.01519,1.377600201,0.945295647,1,0,1.364139543,1.41182549,1,1
2015-09-08,0.069409,1.256367848,1.377600201,0,1,1.25376533,1.364139543,0,1
2015-09-09,0.058173,1.011131959,1.256367848,0,0,1.236084024,1.25376533,0,0
2015-09-10,-0.035438,1.032656962,1.011131959,1,0,1.180361121,1.236084024,0,0
2015-09-11,0.010834,1.13652569,1.032656962,1,1,1.013728207,1.180361121,0,0
2015-09-14,-0.100186,1.05640996,1.13652569,0,1,1.051769805,1.013728207,1,0
2015-09-15,-0.023822,0.980741011,1.05640996,0,0,1.038910673,1.051769805,0,1
2015-09-16,0.100265,0.978945727,0.980741011,0,0,1.032481108,1.038910673,0,0
2015-09-17,0.007715,1.04887897,0.978945727,1,0,1.162144018,1.032481108,1,0
2015-09-18,0.039234,0.902494219,1.04887897,0,1,1.021229367,1.162144018,0,1
2015-09-21,0.059853,1.172781234,0.902494219,1,0,1.131067783,1.021229367,1,0
2015-09-22,-0.01477,1.141423595,1.172781234,0,1,1.169109381,1.131067783,1,1
2015-09-23,-0.012346,1.22832458,1.141423595,1,0,1.080167054,1.169109381,0,1
2015-09-24,0.027232,1.02858765,1.22832458,0,1,1.141783726,1.080167054,1,0
2015-09-25,-0.066058,0.748219421,1.02858765,0,0,0.84977428,1.141783726,0,1
2015-09-28,0.085156,1.021903667,0.748219421,1,0,1.060878357,0.84977428,1,0
2015-09-29,0.02916,0.865511354,1.021903667,0,1,1.365746935,1.060878357,1,1
2015-09-30,-0.0225,0.731481843,0.865511354,0,0,1.065700531,1.365746935,0,1
2015-10-08,0.038363,0.9930226,0.731481843,1,0,1.138568943,1.065700531,1,0
2015-10-09,0.028325,0.810511196,0.9930226,0,1,1.080702851,1.138568943,0,1
2015-10-12,0.0499,1.087298063,0.810511196,1,0,1.243049387,1.080702851,1,0
2015-10-13,0.011787,1.249729898,1.087298063,1,1,1.307345045,1.243049387,1,1
2015-10-14,0.022548,0.994385175,1.249729898,0,1,1.426292013,1.307345045,1,1
2015-10-15,0.028666,1.101107945,0.994385175,1,0,1.521663905,1.426292013,1,1
2015-10-16,0.000357,0.984285548,1.101107945,0,1,1.336813889,1.521663905,0,1
2015-10-19,-0.028571,1.298064486,0.984285548,1,0,1.323954757,1.336813889,1,0
2015-10-20,0.01875,1.328639565,1.298064486,1,1,1.278947796,1.323954757,0,1
2015-10-21,-0.099964,1.005331808,1.328639565,0,1,1.199649818,1.278947796,0,0
2015-10-22,0.050521,1.055093417,1.005331808,1,0,1.181432715,1.199649818,0,0
2015-10-23,0.042748,1.033476348,1.055093417,0,1,1.248407359,1.181432715,1,0
2015-10-26,0.099927,1.117873142,1.033476348,1,0,1.582208983,1.248407359,1,1
2015-10-27,-0.041597,1.172624722,1.117873142,1,1,1.561848692,1.582208983,0,1
2015-10-28,-0.065972,1.138284148,1.172624722,0,1,1.297700697,1.561848692,0,0
2015-10-29,0.016729,1.045546185,1.138284148,0,0,1.260730693,1.297700697,0,0
2015-10-30,-0.024132,0.823059776,1.045546185,0,0,1.21625953,1.260730693,0,0
2015-11-02,-0.021731,1.258549809,0.823059776,1,0,1.251622142,1.21625953,1,0
2015-11-03,-0.005745,0.841298027,1.258549809,0,1,1.111243289,1.251622142,0,1
2015-11-04,0.061248,0.988842809,0.841298027,1,0,1.230190256,1.111243289,1,0
2015-11-05,-0.0098,1.129989012,0.988842809,1,1,1.314846205,1.230190256,1,1
2015-11-06,0.035191,1.08487673,1.129989012,0,1,1.273054028,1.314846205,0,1
2015-11-09,0.008853,1.170866264,1.08487673,1,0,1.25751591,1.273054028,1,0
2015-11-10,-0.010881,1.055001352,1.170866264,0,1,1.152499669,1.25751591,0,1
2015-11-11,0.02555,1.108473216,1.055001352,1,0,1.154107061,1.152499669,1,0
2015-11-12,-0.010727,1.313991883,1.108473216,1,1,1.280555188,1.154107061,1,1
2015-11-13,-0.029381,1.294041207,1.313991883,0,1,1.128924595,1.280555188,0,1
2015-11-16,0.030631,1.354500871,1.294041207,1,0,1.252693736,1.128924595,1,0
2015-11-17,-0.032867,1.36640499,1.354500871,1,1,1.126245609,1.252693736,0,1
2015-11-18,-0.043745,1.069520141,1.36640499,0,1,1.113922274,1.126245609,0,0
2015-11-19,0.040832,1.10684365,1.069520141,1,0,1.181432715,1.113922274,1,0
2015-11-20,0.05376,1.016462573,1.10684365,0,1,2.005488732,1.181432715,1,1
2015-11-23,-0.026887,1.128018802,1.016462573,1,0,1.356102586,2.005488732,1,1
2015-11-24,0.018774,0.949374165,1.128018802,0,1,1.250550548,1.356102586,0,1
2015-11-25,0.097357,1.029232111,0.949374165,1,0,1.523271297,1.250550548,1,0
2015-11-26,-0.055767,1.046172233,1.029232111,1,1,1.400573749,1.523271297,0,1
2015-11-27,-0.083221,0.995683304,1.046172233,0,1,1.255372722,1.400573749,0,0
2015-11-30,0.01757,0.988723123,0.995683304,0,0,1.244120982,1.255372722,1,0
2015-12-01,-0.003597,1.117532498,0.988723123,1,0,1.19000547,1.244120982,0,1
2015-12-02,-0.031408,0.87615417,1.117532498,0,1,1.175003149,1.19000547,0,0
2015-12-03,0.029072,0.860438524,0.87615417,0,0,1.270910839,1.175003149,1,0
2015-12-04,-0.029337,0.860862027,0.860438524,1,0,1.245192576,1.270910839,0,1
2015-12-07,0.00597,0.885369965,0.860862027,1,1,1.181968512,1.245192576,1,0
2015-12-08,-0.050074,1.056603298,0.885369965,1,1,1.296629102,1.181968512,1,1
2015-12-09,-0.014447,0.949770049,1.056603298,0,1,1.307345045,1.296629102,1,1
2015-12-10,0.013867,1.085576431,0.949770049,1,0,1.265552868,1.307345045,0,1
2015-12-11,-0.016022,0.742492923,1.085576431,0,1,1.192684455,1.265552868,0,0
2015-12-14,0.018666,1.083090652,0.742492923,1,0,1.218938516,1.192684455,1,0
2015-12-15,0.00039,0.852226247,1.083090652,0,1,1.219474313,1.218938516,1,1
2015-12-16,0.006625,0.946289958,0.852226247,1,0,1.183575904,1.219474313,0,1
2015-12-17,0.088657,1.034535106,0.946289958,1,1,1.422541433,1.183575904,1,0
2015-12-18,-0.028094,0.919774985,1.034535106,0,1,1.291806928,1.422541433,0,1
2015-12-21,-0.001098,1.043594389,0.919774985,1,0,1.284841565,1.291806928,1,0
2015-12-22,0.004762,1.093254725,1.043594389,1,1,1.282698377,1.284841565,0,1
2015-12-23,-0.018957,1.175432731,1.093254725,1,1,1.270375042,1.282698377,0,0
2015-12-24,-0.01858,0.877084035,1.175432731,0,1,1.258051708,1.270375042,0,0
2015-12-25,0.012117,0.899502077,0.877084035,1,0,1.149284886,1.258051708,0,0
2015-12-28,-0.013842,0.984322374,0.899502077,1,1,1.203400398,1.149284886,1,0
2015-12-29,0.024279,0.876540846,0.984322374,0,1,1.199114021,1.203400398,0,1
2015-12-30,0.021852,1.040224778,0.876540846,1,0,1.258587505,1.199114021,1,0
2015-12-31,-0.006162,0.632105931,1.040224778,0,1,1.150356481,1.258587505,0,1
